2026-08-05T17:37:06.192722540Z [inf]  Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/643fa160-f6a2-4092-a575-213997098464/vol_rtzzjoki33d2gyu7
2026-08-05T17:37:07.165998085Z [inf]  Starting Container
2026-08-05T17:37:08.129051921Z [err]  INFO:     Waiting for application startup.
2026-08-05T17:37:08.129058426Z [err]  INFO:     Application startup complete.
2026-08-05T17:37:08.129063862Z [err]  INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-08-05T17:37:08.129083448Z [err]  INFO:     Started server process [1]
2026-08-05T17:37:27.725611076Z [err]  2026-08-05 17:37:23,824 [INFO] main: [REQ] 100.64.0.2 — GET /uploads/images/d5b8bf420de54b779d0e93288c43608b.jpg → 404 (2ms)
2026-08-05T17:37:27.725615385Z [inf]  INFO:     100.64.0.2:41622 - "GET /uploads/images/d5b8bf420de54b779d0e93288c43608b.jpg HTTP/1.1" 404 Not Found
2026-08-05T17:37:35.575817564Z [err]  2026-08-05 17:37:35,565 [INFO] httpx: HTTP Request: POST https://ark.cn-beijing.volces.com/api/v3/chat/completions "HTTP/1.1 200 OK"
2026-08-05T17:37:35.575826498Z [err]  2026-08-05 17:37:35,566 [INFO] chat_service: [chat] LLM 开场白: Excuse me, do you have the scroll "Twelve Coastal Defense Strategies" here, and 
2026-08-05T17:37:36.622537563Z [err]  2026-08-05 17:37:36,607 [INFO] httpx: HTTP Request: POST https://openspeech.bytedance.com/api/v3/tts/unidirectional "HTTP/1.1 200 OK"
2026-08-05T17:37:37.277009380Z [inf]  INFO:     100.64.0.3:39860 - "POST /api/chat/start HTTP/1.1" 200 OK
2026-08-05T17:37:37.277033954Z [err]  2026-08-05 17:37:37,126 [INFO] chat_service: [TTS] 豆包 TTS 成功
2026-08-05T17:37:37.277044386Z [err]  2026-08-05 17:37:37,127 [INFO] chat_service: [TTS] 豆包生成成功: /uploads/tts/4083306d4aec.mp3
2026-08-05T17:37:37.277048553Z [err]  2026-08-05 17:37:37,127 [INFO] chat_router: [chat/start] 响应耗时: 5390ms, has_audio=True
2026-08-05T17:37:37.277052561Z [err]  2026-08-05 17:37:37,128 [INFO] main: [REQ] 100.64.0.3 — POST /api/chat/start → 200 (5393ms)
2026-08-05T17:37:37.399938611Z [err]  2026-08-05 17:37:37,396 [INFO] main: [REQ] 100.64.0.4 — GET /uploads/tts/4083306d4aec.mp3 → 206 (1ms)
2026-08-05T17:37:37.399944522Z [inf]  INFO:     100.64.0.4:51652 - "GET /uploads/tts/4083306d4aec.mp3 HTTP/1.1" 206 Partial Content
2026-08-05T17:37:46.514361595Z [err]  2026-08-05 17:37:46,502 [INFO] main: [REQ] 100.64.0.5 — POST /api/upload/audio → 200 (4ms)
2026-08-05T17:37:46.514364600Z [inf]  INFO:     100.64.0.5:41198 - "POST /api/upload/audio HTTP/1.1" 200 OK
2026-08-05T17:37:46.779073969Z [err]  2026-08-05 17:37:46,768 [INFO] chat_router: [chat/turn] 收到请求: user_text=, history_count=1, history_preview=[{"role": "ai", "text": "Excuse me, do you have the scroll \"Twelve Coastal Defense Strategies\" here, and how can I access it?"}]
2026-08-05T17:37:46.779078427Z [err]  2026-08-05 17:37:46,768 [INFO] chat_service: [chat] conversation_history 组装完成: history_turns=1, assembled_messages=[{"role": "system", "content": "You are an AI conversation partner in a task-based English learning scenario.\\nYour job is to help the student practice ..."}, {"role": "assistant", "content": "Excuse me, do you have the scroll \"Twelve Coastal Defense Strategies\" here, and how can I access it?"}, {"role": "user", "content": "[inaudible]"}]
2026-08-05T17:37:46.779081423Z [err]  2026-08-05 17:37:46,768 [INFO] chat_service: [chat] 调用 LLM 生成回复 — history=1 turns
2026-08-05T17:37:50.617457403Z [err]  2026-08-05 17:37:50,615 [INFO] httpx: HTTP Request: POST https://ark.cn-beijing.volces.com/api/v3/chat/completions "HTTP/1.1 200 OK"
2026-08-05T17:37:50.617462035Z [err]  2026-08-05 17:37:50,615 [INFO] chat_service: [chat] 模型返回文本(raw): I'm sorry, I didn't catch that clearly. Could you please repeat what you need?
2026-08-05T17:37:50.617465053Z [err]  2026-08-05 17:37:50,615 [INFO] chat_service: [chat] 模型返回文本(clean): I'm sorry, I didn't catch that clearly. Could you please repeat what you need?
2026-08-05T17:37:50.617468266Z [err]  2026-08-05 17:37:50,616 [INFO] chat_service: [chat] 模型返回解析结果: ai_text=I'm sorry, I didn't catch that clearly. Could you please repeat what you need?, is_final=False
2026-08-05T17:37:51.330284416Z [err]  2026-08-05 17:37:51,324 [INFO] httpx: HTTP Request: POST https://openspeech.bytedance.com/api/v3/tts/unidirectional "HTTP/1.1 200 OK"
2026-08-05T17:37:51.769782050Z [err]  2026-08-05 17:37:51,765 [INFO] chat_service: [TTS] 豆包 TTS 成功
2026-08-05T17:37:51.769786802Z [err]  2026-08-05 17:37:51,765 [INFO] chat_service: [TTS] 豆包生成成功: /uploads/tts/6a17c821f8f3.mp3
2026-08-05T17:37:51.769790036Z [err]  2026-08-05 17:37:51,765 [INFO] chat_router: [chat/turn] 回传: ai_text=I'm sorry, I didn't catch that clearly. Could you please repeat what you need?, user_text=, is_final=False, has_audio=True
2026-08-05T17:37:51.769793353Z [err]  2026-08-05 17:37:51,766 [INFO] main: [REQ] 100.64.0.6 — POST /api/chat/turn → 200 (5000ms)
2026-08-05T17:37:51.769796288Z [inf]  INFO:     100.64.0.6:37396 - "POST /api/chat/turn HTTP/1.1" 200 OK
2026-08-05T17:37:58.339657415Z [err]  2026-08-05 17:37:58,017 [INFO] httpx: HTTP Request: POST https://ark.cn-beijing.volces.com/api/v3/chat/completions "HTTP/1.1 200 OK"
2026-08-05T17:37:58.339661134Z [err]  2026-08-05 17:37:58,017 [INFO] chat_service: [chat] LLM 开场白: Excuse me, do you have the ancient scroll *Twelve Coastal Defense Strategies* av
2026-08-05T17:37:58.826484516Z [err]  2026-08-05 17:37:58,824 [INFO] httpx: HTTP Request: POST https://openspeech.bytedance.com/api/v3/tts/unidirectional "HTTP/1.1 200 OK"
